gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	TC
IGLC1	7.02422142150295e-237	1.80079726701232	0.912	0.856	2.5709352824843e-232	TC-1
NQO1	9.81718019631605e-237	-0.57577648668015	0.918	0.965	3.59318612365364e-232	TC-1
CDH1	1.32461277655266e-236	-0.634849443263259	0.835	0.939	4.8482152234604e-232	TC-1
COX17	1.50941158545989e-236	-0.589454224192594	0.793	0.926	5.52459734394173e-232	TC-1
PSAP	2.08490313485838e-236	0.564136162706552	0.999	0.997	7.63095396389515e-232	TC-1
IL32	7.75862026815438e-235	0.782552183945762	0.833	0.71	2.83973260434719e-230	TC-1
IGFBP5	6.47426863051879e-234	-0.605391306572399	1	1	2.36964706145618e-229	TC-1
THY1	1.11421904344397e-232	0.755741741100884	0.848	0.726	4.07815312090927e-228	TC-1
POLR2K	3.01707101952441e-229	-0.563664700812516	0.851	0.944	1.10427816385613e-224	TC-1
FSTL1	4.41264332874869e-228	0.79111107145776	0.783	0.595	1.61507158475531e-223	TC-1
NBL1	1.3973608748294e-225	0.703299210282003	0.911	0.858	5.11448053796308e-221	TC-1
TRBC2	2.12629078594221e-225	0.937057006947801	0.767	0.587	7.7824369056271e-221	TC-1
CAVIN1	3.20908879026501e-225	0.759053944400305	0.784	0.589	1.1745585881249e-220	TC-1
COL3A1	1.06882859260465e-224	0.87049110320773	0.982	0.961	3.91201953179226e-220	TC-1
LYZ	1.88584322652582e-224	0.87541762100494	0.973	0.959	6.90237479340714e-220	TC-1
CTTN	4.90960673035215e-224	-0.555903977636727	0.962	0.972	1.79696515937619e-219	TC-1
ISLR	5.77597572428105e-222	0.754039166004892	0.816	0.645	2.11406487484411e-217	TC-1
GPRC5A	3.33915782616272e-220	-0.530497753737123	0.957	0.972	1.22216515595382e-215	TC-1
RARRES2	2.67981988039475e-219	0.772950445807512	0.814	0.665	9.80840874423284e-215	TC-1
SEC61G	6.28569443225656e-218	-0.586199409653524	0.842	0.929	2.30062701915022e-213	TC-1
CORO1A	1.59004854865799e-216	0.782565356870662	0.799	0.666	5.81973669294312e-212	TC-1
TYROBP	3.45990629680418e-215	0.714740203102009	0.902	0.863	1.2663603036933e-210	TC-1
MMP2	5.08676016763179e-215	0.787193384973794	0.875	0.788	1.86180508895491e-210	TC-1
SH3BGRL3	1.31641860750902e-212	0.540778803877872	0.978	0.96	4.81822374534377e-208	TC-1
RNASE1	3.85303026127352e-210	0.805461608856978	0.877	0.772	1.41024760592872e-205	TC-1
CCN2	6.48518573162446e-208	0.931220402850457	0.852	0.746	2.37364282963187e-203	TC-1
EMP3	3.99695106209684e-206	0.688935971180729	0.754	0.586	1.46292405823806e-201	TC-1
LSP1	1.14160586146595e-205	0.704056250862636	0.776	0.625	4.17839161355151e-201	TC-1
S100P	9.07683860319431e-204	-0.506963347947735	0.965	0.977	3.32221369715515e-199	TC-1
SFRP4	1.36869348815161e-202	0.940333101179943	0.653	0.388	5.00955503598371e-198	TC-1
STAB1	9.88784580719105e-201	0.67113111735027	0.69	0.451	3.61905044389e-196	TC-1
NNMT	1.38410482826265e-200	0.71236882976403	0.746	0.552	5.06596208192412e-196	TC-1
JCHAIN	1.25673905042138e-195	1.32893298736469	0.741	0.57	4.59979059844729e-191	TC-1
CXCL12	9.271386140717e-195	0.747048085526001	0.697	0.491	3.39342004136383e-190	TC-1
GSN	4.68740753121737e-193	0.706460137464224	0.868	0.82	1.71563803050087e-188	TC-1
CREB3L4	1.2647836992786e-192	-0.510106948892391	0.836	0.935	4.6292348177296e-188	TC-1
TACSTD2	5.2925552847363e-189	-0.596781106760358	0.704	0.894	1.93712815976633e-184	TC-1
CERS2	5.74723220638019e-189	-0.525524801952549	0.823	0.933	2.10354445985721e-184	TC-1
ADIPOR1	9.17985352948763e-189	-0.534454951295038	0.767	0.918	3.35991819032777e-184	TC-1
HLA-DQB1	2.3636022851962e-188	0.65627762205454	0.904	0.872	8.65102072404662e-184	TC-1
TMEM150C	3.57507826101749e-187	-0.555821280816514	0.935	0.966	1.30851439431501e-182	TC-1
COL6A3	3.59472610859268e-187	0.770162647122462	0.876	0.794	1.31570570300601e-182	TC-1
CD14	4.8681139542055e-187	0.712406657525374	0.77	0.648	1.78177838837876e-182	TC-1
MLPH	5.88532599316221e-187	-0.506512146939706	0.902	0.955	2.1540881667573e-182	TC-1
AGR2	2.68168702965141e-186	-0.737898473246678	0.944	0.977	9.81524269722713e-182	TC-1
TCEAL3	1.08002460293012e-183	-0.539159662132007	0.856	0.933	3.95299804918453e-179	TC-1
MALAT1	2.04131583885974e-183	0.755012939057414	0.999	0.996	7.47142010181054e-179	TC-1
IGFBP4	3.51716021505313e-183	0.535015711504457	0.996	0.986	1.2873158103116e-178	TC-1
SLIRP	3.8808595111832e-182	-0.510889045140766	0.744	0.914	1.42043338968816e-177	TC-1
TAGLN	1.22085554054084e-181	0.798625183348774	0.878	0.789	4.46845336393354e-177	TC-1
FAM234B	1.35122500352768e-180	-0.698389938788782	0.901	0.967	4.94561863541167e-176	TC-1
MFGE8	5.14417573129992e-179	0.692417549826789	0.728	0.556	1.88281975941308e-174	TC-1
CTSB	3.61975221754592e-178	0.52963445478204	0.995	0.986	1.32486550914398e-173	TC-1
ZFP36L2	6.86966340157015e-178	0.693766491261967	0.797	0.705	2.51436550160869e-173	TC-1
MAL2	1.08438649365705e-176	-0.517228974449055	0.711	0.906	3.96896300543415e-172	TC-1
C1QC	4.40411159044497e-175	0.726459091976045	0.867	0.796	1.61194888321876e-170	TC-1
PLEKHO1	1.21541657653898e-174	0.610037510699992	0.733	0.58	4.44854621179032e-170	TC-1
SPARCL1	1.80237064110198e-174	0.821699835123055	0.779	0.657	6.59685678349736e-170	TC-1
GGT5	4.90118206940184e-174	0.610229171081631	0.601	0.352	1.79388164922177e-169	TC-1
VCAN	6.70037849586928e-174	0.755964048637389	0.74	0.583	2.45240553327312e-169	TC-1
XIST	1.26637516930554e-173	0.647660998587006	0.635	0.406	4.63505975717522e-169	TC-1
ESR1	1.32255900119843e-173	-0.515965212101304	0.855	0.933	4.84069820028639e-169	TC-1
CCL19	1.3905439977414e-173	1.00534980048424	0.666	0.433	5.08953008613331e-169	TC-1
H2AFZ	6.08555580386731e-172	-0.538421332792277	0.881	0.946	2.22737427977347e-167	TC-1
LTB	1.51842385807606e-171	0.736243096962233	0.637	0.409	5.55758316294419e-167	TC-1
ITGB2	1.38923231052728e-168	0.662478536149965	0.796	0.712	5.08472917976091e-164	TC-1
BAMBI	3.01179015331878e-167	-0.607917282200428	0.973	0.982	1.10234531401621e-162	TC-1
HLA-DMA	1.43554896742662e-166	0.578938388481435	0.861	0.815	5.25425277567816e-162	TC-1
PLEC	2.32621614908688e-166	0.500876291676401	0.928	0.886	8.51418372727291e-162	TC-1
S100A4	6.11349274060698e-161	0.571520801416022	0.913	0.893	2.23759947798956e-156	TC-1
CD68	2.85620170882805e-159	0.612456054402682	0.811	0.73	1.04539838744815e-154	TC-1
TMSB4X	1.53210154000387e-156	0.518326140936183	0.999	0.997	5.60764484656815e-152	TC-1
ANXA1	1.06980114747137e-155	0.564732827951058	0.728	0.586	3.91557917985995e-151	TC-1
IGHG2	2.37245693455089e-155	1.49098161667698	0.656	0.459	8.68342962614971e-151	TC-1
GPNMB	2.42510591694307e-155	0.673490412807711	0.881	0.844	8.87613016660333e-151	TC-1
VWF	3.65217952681897e-154	0.880070977086095	0.742	0.61	1.33673422861101e-149	TC-1
FOS	1.16034623767519e-152	0.718563119188554	0.812	0.726	4.24698326451497e-148	TC-1
ZYX	6.064239503535e-150	0.537627919131914	0.798	0.722	2.21957230068884e-145	TC-1
COL14A1	5.75194149986062e-148	0.520705897186474	0.44	0.186	2.10526810836398e-143	TC-1
ANO1	6.6508965391585e-148	-0.500657677904313	0.705	0.887	2.4342946422974e-143	TC-1
LIMD2	3.92259548767585e-147	0.607746583513727	0.654	0.493	1.43570917444424e-142	TC-1
CD52	9.89958318279184e-146	0.774973446364492	0.712	0.584	3.62334644073364e-141	TC-1
AGR3	1.82264220938173e-145	-0.537396654296674	0.766	0.901	6.67105275055806e-141	TC-1
PECAM1	1.26920813356957e-143	0.655470255897979	0.66	0.482	4.64542868967797e-139	TC-1
TIMP2	4.94674473438035e-142	0.525338205545387	0.916	0.879	1.81055804023055e-137	TC-1
COTL1	7.97725318395501e-141	0.555990583119472	0.805	0.765	2.91975443785937e-136	TC-1
HCST	1.04974029770886e-139	0.563689686635364	0.616	0.427	3.84215446364418e-135	TC-1
HLA-DQA1	1.20925323873399e-139	0.626403374490969	0.829	0.781	4.42598777909028e-135	TC-1
CCND1	2.03405665887956e-138	-0.590400785991856	0.978	0.982	7.4448507771651e-134	TC-1
RAB11FIP1	2.7921724900537e-137	-0.534273756426574	0.943	0.976	1.02196305308456e-132	TC-1
MARCKS	2.65120677078658e-136	0.503404611974925	0.84	0.818	9.70368190175595e-132	TC-1
NCF1	6.92059176642612e-135	0.545785409771774	0.636	0.46	2.53300579242962e-130	TC-1
GAS6	9.34726743291696e-134	0.559273986053832	0.748	0.658	3.42119335312194e-129	TC-1
CALD1	4.4171301259019e-132	0.642675374847944	0.729	0.616	1.61671379738135e-127	TC-1
POSTN	1.29734884522606e-131	0.706083996865095	0.893	0.861	4.74842650841191e-127	TC-1
TRAC	1.36032068933014e-131	0.658285155888338	0.666	0.525	4.97890975501726e-127	TC-1
ACADSB	5.02668849138736e-131	-0.54402759294494	0.831	0.926	1.83981825473269e-126	TC-1
TMEM119	6.16337692880362e-130	0.509373677329881	0.543	0.331	2.25585758971141e-125	TC-1
FBLN2	1.75417620836403e-129	0.588866600915823	0.548	0.344	6.42046034023319e-125	TC-1
MXRA8	6.44629724055063e-129	0.506616023561757	0.872	0.831	2.35940925301394e-124	TC-1
TGFBR2	4.96408109541966e-127	0.55121741849412	0.574	0.38	1.81690332173455e-122	TC-1
PCOLCE	4.11314039157635e-126	0.541331268978858	0.682	0.555	1.50545051472086e-121	TC-1
HEBP1	1.15662178831574e-125	-0.660451759938788	0.84	0.941	4.23335140741442e-121	TC-1
SLC39A6	6.55501052485006e-125	-0.562732393826252	0.989	0.991	2.39919940220037e-120	TC-1
CTSK	6.49635260085895e-124	0.57433923196283	0.729	0.636	2.37773001544039e-119	TC-1
PTPRC	3.2961705445007e-123	0.567808146917157	0.627	0.472	1.2064313809927e-118	TC-1
PTGDS	1.64786369128394e-122	0.704046477545012	0.614	0.442	6.03134589646835e-118	TC-1
ACKR1	8.07957987347523e-122	0.684387325668893	0.414	0.185	2.95720702949067e-117	TC-1
WIPF1	5.89174553722287e-121	0.531317384570732	0.614	0.462	2.15643778407894e-116	TC-1
AQP1	1.31975638982987e-120	0.739209856419313	0.638	0.478	4.8304403624163e-116	TC-1
FN1	2.30246526410228e-120	0.569340283242184	0.994	0.983	8.42725311314075e-116	TC-1
SCD	5.77944256032635e-119	-0.536462176954029	0.893	0.945	2.11533377150505e-114	TC-1
CCL5	2.18912514718137e-118	0.555596062976661	0.722	0.606	8.01241695119853e-114	TC-1
CSF1R	3.43392840845003e-117	0.53532743501241	0.626	0.484	1.2568521367768e-112	TC-1
TCF4	7.13709675574014e-117	0.504207706796812	0.555	0.368	2.61224878356845e-112	TC-1
TRBC1	5.14068259900709e-116	0.571886924536169	0.571	0.395	1.88154123806258e-111	TC-1
APOC1	1.22968380203251e-113	0.615239066991227	0.989	0.988	4.5007656838192e-109	TC-1
CD37	6.20345116859823e-111	0.532281541747561	0.553	0.383	2.27052516221864e-106	TC-1
SRGN	3.67898545046204e-110	0.546648544193711	0.681	0.581	1.34654546472361e-105	TC-1
TIMP3	8.88194928985676e-110	0.617177084091598	0.865	0.852	3.25088225958047e-105	TC-1
THBS2	1.14358786564569e-109	0.556973286269076	0.696	0.58	4.18564594704979e-105	TC-1
KCTD12	1.12217845247095e-108	0.54516356144315	0.623	0.488	4.10728535388893e-104	TC-1
GPX3	4.68266443024744e-108	0.594275814274079	0.558	0.37	1.71390200811487e-103	TC-1
UGCG	2.07575231297136e-106	-0.526217354759449	0.826	0.929	7.59746104070648e-102	TC-1
ELN	1.62178021776691e-105	0.512156040934702	0.512	0.32	5.93587777504865e-101	TC-1
CCN1	1.66583026352057e-104	0.667040027798587	0.589	0.443	6.09710534751165e-100	TC-1
ID3	1.36897147269632e-103	0.548166049653559	0.629	0.507	5.01057248721579e-99	TC-1
CLDN5	5.22961656544019e-102	0.52029324417911	0.383	0.179	1.91409195911677e-97	TC-1
COMP	9.35197754193775e-102	0.668446246731254	0.76	0.691	3.42291730012464e-97	TC-1
HLA-DMB	9.62758738419772e-101	0.501439797708999	0.72	0.656	3.52379325849021e-96	TC-1
H19	3.06987578748496e-99	0.592223909546745	0.531	0.356	1.12360523697737e-94	TC-1
CTSS	1.24908652888922e-98	0.546502124293228	0.767	0.756	4.57178160438743e-94	TC-1
MT-CO1	7.1877851502332e-97	-0.534793341556403	1	1	2.63080124283685e-92	TC-1
CCL21	3.76094063137392e-95	0.745568929135358	0.353	0.159	1.37654188048917e-90	TC-1
MZB1	4.58919936538529e-93	0.571410002574464	0.637	0.528	1.67969285972467e-88	TC-1
DEPP1	1.78356303124256e-92	0.513772579729433	0.484	0.313	6.52801905065088e-88	TC-1
HTRA1	2.30836686644197e-92	0.513313011654498	0.779	0.751	8.44885356786425e-88	TC-1
PRSS23	8.18318860344788e-92	0.54222988266362	0.599	0.474	2.99512886074796e-87	TC-1
ARHGAP45	3.61849278351369e-91	0.505158017658181	0.585	0.473	1.32440454369385e-86	TC-1
EGR1	7.05647707910893e-91	0.56241546937466	0.648	0.548	2.58274117572466e-86	TC-1
COL4A2	3.09477228272361e-90	0.531576856349049	0.778	0.751	1.13271760319967e-85	TC-1
EFEMP1	2.04382344211542e-85	0.539134916508657	0.511	0.35	7.48059818048664e-81	TC-1
APOD	5.69135904858811e-85	0.521231868666485	0.786	0.723	2.08309432537373e-80	TC-1
ACTA2	1.18392241462414e-84	0.700213596873224	0.714	0.664	4.33327442976582e-80	TC-1
COL5A1	1.89361542709973e-77	0.509559373407137	0.694	0.644	6.93082182472773e-73	TC-1
CSTA	3.12116974936151e-72	-0.603615110986134	0.93	0.962	1.14237933996381e-67	TC-1
GFRA1	3.88129183397996e-69	-0.540150194490232	0.815	0.912	1.42059162415501e-64	TC-1
CGA	1.05120172041575e-67	-0.500893042768776	0.664	0.852	3.84750341689368e-63	TC-1
TFF1	9.52403779138645e-58	-0.548996536205002	0.941	0.967	3.48589307202536e-53	TC-1
SAA1	1.14487395573764e-56	0.504870276138249	0.338	0.191	4.19035316539535e-52	TC-1
S100G	2.48224163715944e-49	-0.747040565068557	0.811	0.917	9.08525261616726e-45	TC-1
IGHA2	6.44174490174017e-32	1.02368688873329	0.498	0.463	2.35774305148592e-27	TC-1
MGP	4.85813386106417e-19	-0.551047385442887	1	1	1.7781255744881e-14	TC-1
SCGB2A2	5.42519505323809e-15	-0.544352500312488	0.85	0.918	1.98567564143567e-10	TC-1
ALB	4.54533592228543e-05	-0.806794318058105	0.436	0.567	1	TC-1
MALAT1	2.20560699609211e-151	1.24200038129296	0.977	0.999	8.07274216639675e-147	TC-2
CRISP3	7.53465390322929e-16	-0.755681336042581	0.488	0.857	2.75775867512095e-11	TC-2
CCL21	5.64094969965023e-05	0.525375354643897	0.229	0.203	1	TC-2
COX6C	0	0.937120473190701	1	1	0	TC-3
BAMBI	0	0.780579845671549	1	0.973	0	TC-3
ERLIN2	0	0.633559270520267	0.998	0.873	0	TC-3
UGCG	0	0.63105077653089	0.999	0.871	0	TC-3
TBC1D9	0	0.601235644927313	1	0.902	0	TC-3
RAB11FIP1	6.46077461202335e-307	0.577679685108729	1	0.957	2.36470811574666e-302	TC-3
CSTA	1.16785157022038e-302	0.736700555855047	1	0.938	4.27445353216361e-298	TC-3
ABHD2	4.48508772621099e-297	0.650882011821837	0.995	0.847	1.64158695867049e-292	TC-3
CTPS2	8.21968394429956e-269	0.62141951734839	0.986	0.767	3.00848652045308e-264	TC-3
DDR1	1.3010565290236e-256	0.521326932659313	1	0.957	4.76199700187928e-252	TC-3
HK2	2.55826957496372e-256	0.520909451927798	0.959	0.615	9.36352247132471e-252	TC-3
ACADSB	8.29824500050941e-244	0.605565617256068	0.998	0.869	3.03724065263645e-239	TC-3
COL1A2	2.15356335229954e-237	-0.925760220732561	1	0.987	7.88225722575155e-233	TC-3
MALAT1	2.8944341774151e-235	-1.19928997282715	1	0.996	1.0593918532757e-230	TC-3
IER3	1.29662958946896e-215	0.57910775255846	1	0.938	4.74579396041535e-211	TC-3
S100G	3.14879001766663e-214	0.920417919494184	0.996	0.854	1.15248863436616e-209	TC-3
FAM234B	4.1806159404465e-211	0.52997494077204	1	0.934	1.53014724036282e-206	TC-3
CXCL14	1.08878260462704e-206	-1.29972139775012	0.989	0.926	3.98505321119542e-202	TC-3
PVALB	4.22803494772697e-204	0.534440777986459	0.988	0.8	1.54750307121755e-199	TC-3
COL1A1	1.62838461842204e-197	-0.869164169535437	1	0.987	5.9600505418865e-193	TC-3
TFF3	1.71609595638329e-195	0.619644851486343	1	0.996	6.28108280995848e-191	TC-3
RERG	2.40080440415918e-192	0.509675162396937	0.973	0.7	8.78718419966301e-188	TC-3
HEBP1	8.27307869455062e-191	0.581295407540704	0.999	0.887	3.02802953299247e-186	TC-3
MT-CYB	4.29676974687388e-172	-0.501849569228402	1	0.999	1.57266069505331e-167	TC-3
LGALS1	1.61585314002503e-157	-0.590084296255005	0.999	0.973	5.91418407780561e-153	TC-3
AEBP1	3.95698580155389e-153	-0.784656502115306	0.975	0.929	1.44829637322674e-148	TC-3
SCGB2A2	1.25001387113568e-149	0.752130445830904	0.989	0.87	4.57517576974372e-145	TC-3
COL6A2	1.73378712052912e-149	-0.805061991419797	0.982	0.937	6.34583423984865e-145	TC-3
COL3A1	8.32247276216349e-148	-0.721332335600273	0.996	0.956	3.04610825567946e-143	TC-3
FCGR3B	7.28409976643502e-146	0.538572456960439	0.646	0.333	2.66605335551288e-141	TC-3
MT-ATP6	3.90230417742648e-143	-0.527786244712298	1	1	1.42828235197986e-138	TC-3
CFB	3.99753392716091e-143	0.551814840469567	1	0.979	1.46313739268016e-138	TC-3
HLA-B	4.81958215352419e-136	0.503759730106335	1	0.999	1.76401526401139e-131	TC-3
BGN	2.74752757816264e-134	-0.795720302786634	0.92	0.872	1.00562256888331e-129	TC-3
SCGB1D2	1.26516564222921e-124	0.617084161986967	0.978	0.835	4.63063276712312e-120	TC-3
VIM	5.23657905984481e-121	-0.661630467293187	0.998	0.972	1.9166403016938e-116	TC-3
IGFBP7	5.10829308439922e-117	-0.760963515229836	0.996	0.975	1.86968635182096e-112	TC-3
SFRP2	2.50886690571626e-114	-0.780756187449647	0.931	0.889	9.18270376161208e-110	TC-3
IGLC2	1.88905571833276e-109	-1.56477713441486	1	0.991	6.91413283466975e-105	TC-3
IGKC	1.10119482321266e-107	-1.30882278684328	1	1	4.03048317244064e-103	TC-3
TAGLN	2.39167644991059e-104	-0.679423060512613	0.843	0.799	8.75377497431775e-100	TC-3
FN1	3.02886511432651e-102	-0.563560442352355	1	0.981	1.10859492049464e-97	TC-3
TFF1	1.01585853651201e-101	0.617228978597805	0.999	0.947	3.71814382948759e-97	TC-3
LUM	1.88804821853797e-100	-0.646671867295852	0.952	0.893	6.91044528467083e-96	TC-3
IGHG3	8.79281598556221e-99	-1.38000355510313	1	0.999	3.21825857887562e-94	TC-3
CPB1	2.08143038521081e-92	1.29764415907058	0.999	0.972	7.61824335291007e-88	TC-3
RNASE1	3.08616834417307e-92	-0.645231288378682	0.833	0.784	1.12956847565079e-87	TC-3
COL6A1	8.05074440165005e-90	-0.604095131545268	0.949	0.879	2.94665295844794e-85	TC-3
DCN	2.02955008895891e-89	-0.724584537930089	0.913	0.856	7.42835628059852e-85	TC-3
TIMP1	3.86694325483108e-88	-0.812732382386105	0.98	0.945	1.41533990070072e-83	TC-3
MYL9	1.41676297130535e-86	-0.597852685913584	0.911	0.833	5.1854941512747e-82	TC-3
IGHG4	6.82847678894742e-86	-0.895350907229652	1	0.999	2.49929078952264e-81	TC-3
IGHG1	1.20496845175057e-78	-1.18158869816491	1	0.993	4.41030503025227e-74	TC-3
FLNA	4.14008301016706e-77	-0.505251248502078	0.965	0.885	1.51531178255124e-72	TC-3
POSTN	2.19984740590901e-65	-0.533814233614651	0.939	0.844	8.05166149036756e-61	TC-3
IGHA1	5.15720965025639e-60	-0.979891322016957	0.985	0.933	1.88759030409034e-55	TC-3
DEGS1	6.81666324022101e-57	-0.5121242472186	0.972	0.855	2.49496691255329e-52	TC-3
IGLC1	3.07996577441471e-55	-1.21519024277515	0.924	0.85	1.12729827309353e-50	TC-3
CCN2	1.03447012267161e-51	-0.61339816562643	0.816	0.756	3.78626409599036e-47	TC-3
C3	7.07831473629056e-50	-0.852925950493664	0.977	0.922	2.59073397662971e-45	TC-3
IGLC3	3.01505951368029e-49	-1.26652699601875	0.717	0.703	1.10354193260212e-44	TC-3
HSPG2	1.47359276806906e-44	-0.511506828553045	0.88	0.787	5.39349689040957e-40	TC-3
CAVIN1	5.87680237307897e-41	-0.511550568841359	0.646	0.633	2.15096843657063e-36	TC-3
CCDC80	1.07700100039334e-37	-0.669592145806133	0.632	0.611	3.94193136153967e-33	TC-3
LRP1	2.50160355655764e-36	-0.50088182046254	0.717	0.668	9.15611917735662e-32	TC-3
C1S	3.18191969033854e-35	-0.518632366124309	0.843	0.763	1.16461442586081e-30	TC-3
